model,category1,category2,frame,price,Albuquerque Cycles,Ann Arbor Speed,Austin Cruisers,Cincinnati Speed,Columbus Race Equipment,Dallas Cycles,Denver Bike Shop,Detroit Cycles,Indianapolis Velocipedes,Ithaca Mountain Climbers,Kansas City 29ers,Las Vegas Cycles,Los Angeles Cycles,Louisville Race Equipment,Miami Race Equipment,Minneapolis Bike Shop,Nashville Cruisers,New Orleans Velocipedes,New York Cycles,Oklahoma City Race Equipment,Philadelphia Bike Shop,Phoenix Bi-peds,Pittsburgh Mountain Machines,Portland Bi-peds,Providence Bi-peds,San Antonio Bike Shop,San Francisco Cruisers,Seattle Race Equipment,Tampa 29ers,Wichita Speed
CAAD8 Claris,Road,Elite Road,Aluminum,815,0.006993007,0.014950166,0.028455285,0.007672634,0.002538071,0.004273504,0.009126467,0.005952381,0.015673981,0.001582278,0.010083549,0.011217949,0.009433962,0.017721519,0.009831461,0.00608828,0.011560694,0.014130435,0.017283951,0.021645022,0.012244898,0.013389711,0,0.013975155,0.012915129,0.02688172,0.010695187,0.0234375,0.004854369,0.003944773
CAAD8 Sora,Road,Elite Road,Aluminum,1030,0.006993007,0.018272425,0.012195122,0.025575448,0.007614213,0.021367521,0.010864841,0.009920635,0.015673981,0,0.009795448,0.017628205,0.018867925,0.020253165,0.019662921,0.02739726,0.014450867,0.020652174,0.009876543,0.023376623,0.004081633,0.020436927,0,0.02173913,0.020295203,0.021505376,0.002673797,0.015625,0,0.007889546
CAAD8 Tiagra,Road,Elite Road,Aluminum,1250,0.01048951,0.011627907,0.016260163,0.002557545,0.010152284,0,0.006518905,0.013888889,0.034482759,0.003164557,0.011524056,0.011217949,0.034591195,0.002531646,0.025280899,0.01369863,0.014450867,0.010869565,0.002469136,0.017316017,0.028571429,0.013389711,0,0.013975155,0.022140221,0.005376344,0.010695187,0.015625,0,0.01183432
Catalyst 1,Mountain,Sport,Aluminum,705,0.020979021,0.006644518,0.012195122,0,0,0.021367521,0.016949153,0.005952381,0.012539185,0.007120253,0.010947854,0,0.009433962,0,0.016853933,0.02283105,0.00867052,0.006521739,0.012345679,0.006060606,0.012244898,0.011275546,0.013262599,0.00931677,0.016605166,0.016129032,0,0,0,0.001972387
Catalyst 2,Mountain,Sport,Aluminum,585,0.013986014,0.008305648,0.008130081,0,0.002538071,0.012820513,0.025641026,0.007936508,0.009404389,0.004746835,0.018726592,0,0.01572327,0,0.014044944,0.00761035,0.014450867,0.006521739,0.019753086,0.008658009,0.012244898,0.013389711,0.00265252,0.010869565,0.005535055,0.016129032,0,0,0.014563107,0.01183432
Catalyst 3,Mountain,Sport,Aluminum,480,0.031468531,0.006644518,0.004065041,0,0,0.042735043,0.016514559,0.017857143,0.012539185,0.004746835,0.019014693,0.001602564,0.018867925,0,0.002808989,0.0152207,0.011560694,0.008695652,0.002469136,0.004329004,0.004081633,0.014094433,0,0.01863354,0.020295203,0.016129032,0,0.0078125,0.004854369,0
Catalyst 4,Mountain,Sport,Aluminum,415,0.017482517,0.004983389,0.028455285,0,0.002538071,0.017094017,0.019991308,0.005952381,0.02507837,0.005537975,0.01843849,0,0.009433962,0.002531646,0.011235955,0.00761035,0.014450867,0.018478261,0.004938272,0.005194805,0.008163265,0.012684989,0.01061008,0.010869565,0.009225092,0.010752688,0.002673797,0,0.048543689,0.003944773
F-Si 1,Mountain,Cross Country Race,Aluminum,2340,0.01048951,0.00166113,0.012195122,0,0,0.004273504,0.020425902,0.017857143,0.009404389,0.018196203,0.017574186,0,0.012578616,0,0.005617978,0.00913242,0.00867052,0.008695652,0,0.01038961,0.008163265,0.014094433,0.029177719,0.020186335,0.014760148,0.010752688,0,0,0.004854369,0
F-Si 2,Mountain,Cross Country Race,Aluminum,2060,0.017482517,0.003322259,0.008130081,0.002557545,0,0.025641026,0.018252934,0.011904762,0.040752351,0.011075949,0.017862288,0.006410256,0.047169811,0,0.011235955,0.02587519,0.01734104,0.010869565,0.024691358,0.012987013,0.004081633,0.018322763,0.00265252,0.01863354,0.012915129,0.021505376,0,0.015625,0.009708738,0
F-Si 3,Mountain,Cross Country Race,Aluminum,1840,0.017482517,0.009966777,0.004065041,0.002557545,0.007614213,0.008547009,0.010864841,0.007936508,0,0.009493671,0.020743302,0,0.012578616,0.005063291,0.015449438,0.01826484,0.00867052,0.008695652,0.012345679,0.006926407,0.012244898,0.014799154,0.015915119,0.007763975,0.025830258,0.010752688,0,0.0078125,0,0.001972387
F-Si Black Inc.,Mountain,Cross Country Race,Carbon,11190,0,0,0,0.007672634,0.005076142,0.012820513,0.010864841,0.009920635,0,0.016613924,0.014116969,0.006410256,0.003144654,0.012658228,0,0.01217656,0.014450867,0.001086957,0.012345679,0.001731602,0.004081633,0.002114165,0.01061008,0.01242236,0.003690037,0,0,0,0.033980583,0.007889546
F-Si Carbon 2,Mountain,Cross Country Race,Carbon,4800,0.017482517,0.00166113,0.004065041,0.007672634,0.012690355,0.004273504,0.00956106,0.011904762,0.006269592,0.018987342,0.009507347,0.016025641,0.006289308,0.015189873,0.001404494,0.00761035,0,0.002173913,0.004938272,0,0.004081633,0.003523608,0.013262599,0.007763975,0.009225092,0.010752688,0.002673797,0,0.014563107,0.01183432
F-Si Carbon 4,Mountain,Cross Country Race,Carbon,2880,0.01048951,0.009966777,0.016260163,0,0.002538071,0.012820513,0.016514559,0.023809524,0,0.006329114,0.024776721,0,0.018867925,0,0.015449438,0.0152207,0.014450867,0.007608696,0.027160494,0.008658009,0.044897959,0.018322763,0.00530504,0.013975155,0.012915129,0,0,0.0078125,0.014563107,0
F-Si Hi-Mod 1,Mountain,Cross Country Race,Carbon,6390,0.003496503,0,0,0.023017903,0.005076142,0,0.007388092,0,0,0.016613924,0.013252665,0.008012821,0.003144654,0.007594937,0.002808989,0.00456621,0,0,0.007407407,0.002597403,0,0.005637773,0.01061008,0.007763975,0.003690037,0.005376344,0.002673797,0,0.014563107,0.013806706
F-Si Hi-Mod Team,Mountain,Cross Country Race,Carbon,9060,0.006993007,0,0.004065041,0.007672634,0.012690355,0.004273504,0.010864841,0.007936508,0,0.019778481,0.010947854,0.009615385,0,0.005063291,0,0.00152207,0.002890173,0.002173913,0.019753086,0,0,0.003523608,0.00265252,0.004658385,0.005535055,0.005376344,0.00802139,0.0078125,0.009708738,0.017751479
Fat CAAD1,Mountain,Fat Bike,Aluminum,3730,0.013986014,0.00166113,0.004065041,0.002557545,0.007614213,0,0.00956106,0.003968254,0.006269592,0.015031646,0.011235955,0.009615385,0.006289308,0.015189873,0,0.00761035,0,0,0.002469136,0,0.004081633,0.005637773,0.018567639,0.00931677,0.003690037,0,0.010695187,0.0078125,0.024271845,0.023668639
Fat CAAD2,Mountain,Fat Bike,Aluminum,2130,0.017482517,0.004983389,0.004065041,0,0,0.012820513,0.01781834,0.005952381,0.006269592,0.004746835,0.017574186,0,0.01572327,0,0.012640449,0.01369863,0.00867052,0.006521739,0.007407407,0.01038961,0.008163265,0.014094433,0.013262599,0.00931677,0.007380074,0.021505376,0,0,0.004854369,0
Habit 4,Mountain,Trail,Aluminum,2880,0.020979021,0.004983389,0.004065041,0,0,0.012820513,0.016514559,0.009920635,0.003134796,0.002373418,0.016133679,0,0.022012579,0,0.007022472,0.01065449,0.005780347,0.004347826,0.017283951,0.005194805,0.016326531,0.012684989,0.026525199,0.017080745,0.014760148,0.010752688,0,0,0.004854369,0
Habit 5,Mountain,Trail,Aluminum,2340,0.017482517,0.006644518,0.004065041,0.002557545,0,0.008547009,0.013906997,0.013888889,0.006269592,0.007911392,0.017286085,0.003205128,0.003144654,0.002531646,0.012640449,0.01217656,0.002890173,0.017391304,0.014814815,0.013852814,0.008163265,0.010570825,0.00795756,0.00621118,0.011070111,0,0,0.0234375,0,0
Habit 6,Mountain,Trail,Aluminum,1950,0.01048951,0.008305648,0.024390244,0,0.002538071,0.012820513,0.022164276,0.017857143,0,0.004746835,0.013252665,0,0.012578616,0,0.005617978,0.0152207,0.002890173,0.011956522,0.004938272,0.006926407,0.008163265,0.013389711,0.00795756,0.00931677,0.022140221,0.021505376,0,0.0234375,0,0
Habit Carbon 1,Mountain,Trail,Carbon,7460,0.003496503,0,0,0.00511509,0.010152284,0,0.013472403,0.001984127,0,0.019778481,0.006626332,0.006410256,0.003144654,0.010126582,0,0.00913242,0.011560694,0,0.004938272,0,0,0.007751938,0.015915119,0.001552795,0.003690037,0.010752688,0.018716578,0,0.014563107,0.00591716
Habit Carbon 2,Mountain,Trail,Carbon,5330,0.003496503,0,0,0.010230179,0.005076142,0,0.007388092,0.003968254,0.003134796,0.019778481,0.010947854,0.003205128,0.003144654,0.005063291,0,0.00761035,0,0.001086957,0.007407407,0,0.004081633,0.00422833,0.021220159,0.00310559,0.003690037,0.010752688,0.013368984,0,0.029126214,0.007889546
Habit Carbon 3,Mountain,Trail,Carbon,3730,0,0.00166113,0,0.007672634,0.02284264,0.017094017,0.00956106,0.005952381,0,0.011867089,0.009795448,0.008012821,0.006289308,0.012658228,0,0.00456621,0.002890173,0,0.002469136,0.001731602,0.020408163,0.00422833,0.00530504,0.01242236,0.003690037,0,0.013368984,0,0.009708738,0.00591716
Habit Carbon SE,Mountain,Trail,Carbon,4480,0,0.003322259,0.004065041,0.010230179,0.007614213,0,0.007822686,0.001984127,0,0.022151899,0.00806684,0.011217949,0.006289308,0.012658228,0.002808989,0.00456621,0.002890173,0,0.007407407,0.003463203,0.004081633,0.005637773,0.023872679,0.00621118,0.007380074,0.010752688,0.002673797,0,0.014563107,0.013806706
Habit Hi-Mod Black Inc.,Mountain,Trail,Carbon,12250,0.027972028,0.00166113,0,0.020460358,0.010152284,0,0.011734029,0.003968254,0,0.014240506,0.012388361,0.001602564,0.006289308,0.007594937,0,0.00304414,0,0,0.009876543,0.000865801,0.008163265,0.003523608,0.01061008,0.004658385,0.003690037,0,0.00802139,0,0.009708738,0.00591716
Jekyll Carbon 1,Mountain,Over Mountain,Carbon,7990,0.01048951,0,0,0.00511509,0.005076142,0.004273504,0.010430248,0.013888889,0,0.027689873,0.009795448,0.017628205,0.006289308,0.010126582,0.002808989,0.00608828,0,0.001086957,0.007407407,0,0.012244898,0.00845666,0.013262599,0.007763975,0.001845018,0.005376344,0.002673797,0,0.014563107,0.007889546
Jekyll Carbon 2,Mountain,Over Mountain,Carbon,6070,0,0.00166113,0,0.00511509,0.007614213,0.004273504,0.008691873,0.005952381,0,0.018196203,0.009507347,0.012820513,0,0.015189873,0.001404494,0.00304414,0.002890173,0,0,0,0.024489796,0.00422833,0.015915119,0.00621118,0.012915129,0.005376344,0.005347594,0,0.029126214,0.015779093
Jekyll Carbon 3,Mountain,Over Mountain,Carbon,3840,0,0.003322259,0,0.00511509,0.017766497,0.004273504,0.009126467,0.009920635,0,0.014240506,0.008354941,0.011217949,0,0.017721519,0,0.00304414,0,0,0,0.000865801,0,0.006342495,0.015915119,0.001552795,0.003690037,0.010752688,0.010695187,0,0.009708738,0.007889546
Jekyll Carbon 4,Mountain,Over Mountain,Carbon,3200,0.01048951,0.014950166,0.004065041,0.007672634,0.012690355,0.012820513,0.014776184,0.009920635,0.006269592,0.023734177,0.01642178,0.014423077,0.012578616,0.002531646,0.009831461,0.00913242,0.00867052,0.017391304,0.014814815,0.004329004,0.008163265,0.009161381,0.018567639,0.004658385,0.02398524,0,0.00802139,0,0.048543689,0.001972387
Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,3200,0.003496503,0.006644518,0.016260163,0.007672634,0.007614213,0.008547009,0.01303781,0.009920635,0.012539185,0.013449367,0.016133679,0.016025641,0.003144654,0.002531646,0.004213483,0.0152207,0,0.009782609,0.009876543,0.014718615,0.004081633,0.013389711,0.01061008,0.01552795,0.009225092,0.005376344,0.010695187,0.015625,0.019417476,0.01183432
Scalpel-Si Black Inc.,Mountain,Cross Country Race,Carbon,12790,0.003496503,0.00166113,0.004065041,0.015345269,0.012690355,0.012820513,0.011299435,0.001984127,0,0.023734177,0.008931144,0.012820513,0.012578616,0.015189873,0.001404494,0.00913242,0,0.002173913,0.004938272,0.000865801,0.016326531,0.003523608,0.01061008,0.007763975,0.003690037,0.010752688,0,0,0.024271845,0.01183432
Scalpel-Si Carbon 2,Mountain,Cross Country Race,Carbon,6390,0,0,0.004065041,0.007672634,0.002538071,0,0.016079965,0.003968254,0.006269592,0.018196203,0.011524056,0.011217949,0.003144654,0,0.001404494,0.00152207,0,0,0.017283951,0.003463203,0.004081633,0.004933051,0.018567639,0.00621118,0.009225092,0.005376344,0.010695187,0,0,0.007889546
Scalpel-Si Carbon 3,Mountain,Cross Country Race,Carbon,5330,0.003496503,0,0,0.012787724,0.012690355,0,0.010430248,0.005952381,0,0.023734177,0.010659752,0.016025641,0.003144654,0.012658228,0.001404494,0.00913242,0,0.00326087,0.002469136,0.001731602,0.008163265,0.006342495,0.045092838,0.004658385,0.007380074,0,0.00802139,0,0.033980583,0.015779093
Scalpel-Si Carbon 4,Mountain,Cross Country Race,Carbon,4260,0.006993007,0.00166113,0,0.010230179,0.015228426,0,0.007388092,0.003968254,0.003134796,0.019778481,0.010947854,0.012820513,0.003144654,0,0,0.00456621,0.005780347,0.001086957,0.002469136,0.000865801,0.004081633,0.004933051,0.023872679,0.004658385,0.005535055,0.005376344,0.021390374,0,0.009708738,0.001972387
Scalpel-Si Hi-Mod 1,Mountain,Cross Country Race,Carbon,7460,0.003496503,0,0,0.012787724,0.012690355,0.004273504,0.01303781,0,0,0.011867089,0.008354941,0.003205128,0,0.017721519,0.001404494,0.00608828,0.002890173,0,0.004938272,0.002597403,0.008163265,0.007047216,0.013262599,0.01552795,0.009225092,0.005376344,0.013368984,0,0.029126214,0.021696252
Scalpel-Si Race,Mountain,Cross Country Race,Carbon,9060,0.041958042,0.00166113,0,0.002557545,0.038071066,0.008547009,0.008257279,0.021825397,0,0.013449367,0.012676462,0.016025641,0.006289308,0.012658228,0,0.00761035,0.002890173,0,0.012345679,0,0.008163265,0.009161381,0.01061008,0.00621118,0.009225092,0,0,0,0.004854369,0.007889546
Scalpel 29 4,Mountain,Cross Country Race,Aluminum,3200,0.01048951,0.009966777,0.008130081,0.00511509,0.012690355,0.012820513,0.018687527,0.013888889,0.018808777,0.014240506,0.021031403,0.004807692,0.003144654,0.025316456,0.004213483,0.01369863,0.00867052,0.007608696,0.007407407,0.011255411,0.008163265,0.019732206,0.01061008,0.013975155,0.025830258,0.021505376,0.002673797,0,0.014563107,0.015779093
Scalpel 29 Carbon 2,Mountain,Cross Country Race,Carbon,5330,0.006993007,0.00166113,0,0.015345269,0.007614213,0.02991453,0.010430248,0.009920635,0,0.011075949,0.008643042,0.009615385,0.003144654,0.005063291,0.001404494,0.00913242,0,0,0.007407407,0.004329004,0.016326531,0.002114165,0.013262599,0.001552795,0.011070111,0.005376344,0.010695187,0,0.019417476,0.003944773
Scalpel 29 Carbon 3,Mountain,Cross Country Race,Carbon,4260,0.003496503,0,0.004065041,0.002557545,0.005076142,0.017094017,0.012168622,0.005952381,0.006269592,0.015822785,0.009219245,0.006410256,0.003144654,0,0.008426966,0,0.002890173,0.00326087,0.009876543,0,0.008163265,0.007751938,0.00530504,0.00310559,0.001845018,0.016129032,0.00802139,0,0.019417476,0.00591716
Scalpel 29 Carbon Race,Mountain,Cross Country Race,Carbon,6390,0,0.003322259,0,0.010230179,0.007614213,0.008547009,0.01303781,0.003968254,0,0.017405063,0.011235955,0.014423077,0,0.010126582,0,0.00608828,0.00867052,0,0.002469136,0.000865801,0.004081633,0.000704722,0.042440318,0.00621118,0.003690037,0.010752688,0.005347594,0.0078125,0.024271845,0.007889546
Slice 105,Road,Triathalon,Carbon,1950,0.013986014,0.023255814,0.020325203,0.020460358,0.002538071,0.012820513,0.005649718,0.017857143,0.003134796,0,0.012100259,0.006410256,0.009433962,0.010126582,0.018258427,0.02435312,0.020231214,0.020652174,0.014814815,0.016450216,0.016326531,0.017618041,0,0.00931677,0.022140221,0.005376344,0.010695187,0.015625,0,0.015779093
Slice Hi-Mod Black Inc.,Road,Triathalon,Carbon,7000,0.003496503,0.011627907,0.012195122,0.017902813,0.02284264,0,0.001303781,0.007936508,0.015673981,0.002373418,0.000288101,0.033653846,0,0.025316456,0.009831461,0.00608828,0.01734104,0.013043478,0.009876543,0.005194805,0,0.00422833,0.037135279,0.00931677,0.001845018,0.005376344,0.029411765,0.0234375,0.009708738,0.01183432
Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,4500,0.006993007,0.013289037,0.008130081,0.020460358,0.012690355,0.008547009,0.000869187,0.001984127,0.018808777,0.007911392,0.001152406,0.025641026,0.009433962,0.012658228,0.009831461,0.00456621,0.002890173,0.011956522,0.009876543,0.00952381,0.008163265,0.005637773,0.00530504,0.00310559,0.007380074,0,0.034759358,0.0078125,0.009708738,0.031558185
Slice Ultegra,Road,Triathalon,Carbon,2700,0.01048951,0.013289037,0.040650407,0.017902813,0.020304569,0.008547009,0.00956106,0.009920635,0.009404389,0,0.010083549,0.006410256,0.025157233,0.007594937,0.018258427,0.00761035,0.01734104,0.023913043,0.004938272,0.022510823,0.057142857,0.013389711,0,0.02484472,0.009225092,0.053763441,0.024064171,0.03125,0,0.003944773
Slice Ultegra D12,Road,Triathalon,Carbon,3200,0.01048951,0.026578073,0.012195122,0.017902813,0.020304569,0.012820513,0.013472403,0.017857143,0.012539185,0.022943038,0.009507347,0.019230769,0.028301887,0.010126582,0.019662921,0.01217656,0.01734104,0.022826087,0.022222222,0.013852814,0.016326531,0.007047216,0.01061008,0.01242236,0.012915129,0.016129032,0.026737968,0.03125,0,0.01183432
Supersix Evo 105,Road,Elite Road,Carbon,2240,0.01048951,0.019933555,0.012195122,0.007672634,0.010152284,0.02991453,0.00956106,0.013888889,0.028213166,0,0.012100259,0.009615385,0.006289308,0.015189873,0.014044944,0.01065449,0.00867052,0.023913043,0.014814815,0.014718615,0.016326531,0.011980268,0.00265252,0.013975155,0.020295203,0.010752688,0.002673797,0,0,0.00591716
Supersix Evo Black Inc.,Road,Elite Road,Carbon,12790,0.006993007,0.021594684,0.008130081,0.030690537,0.002538071,0,0.001303781,0.003968254,0.028213166,0.011867089,0.001152406,0.017628205,0,0.030379747,0.008426966,0.00152207,0.014450867,0.015217391,0.007407407,0.011255411,0.008163265,0.002818887,0.00795756,0.004658385,0.003690037,0.005376344,0.026737968,0.015625,0.004854369,0.009861933
Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,7990,0,0.013289037,0.004065041,0.007672634,0.010152284,0,0.002172968,0,0.006269592,0.009493671,0.000864304,0.036858974,0.003144654,0.020253165,0.004213483,0.00761035,0.002890173,0.014130435,0.004938272,0.00952381,0.004081633,0.002114165,0.00265252,0,0.003690037,0.021505376,0.016042781,0,0.004854369,0.047337278
Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon,5330,0.017482517,0.008305648,0.004065041,0.010230179,0.010152284,0.004273504,0.001303781,0.007936508,0.009404389,0.011075949,0.000864304,0.012820513,0.006289308,0.025316456,0.016853933,0.00304414,0.005780347,0.008695652,0.004938272,0.006926407,0.004081633,0.006342495,0.013262599,0.00310559,0.005535055,0,0.016042781,0.015625,0.038834951,0.015779093
Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,10660,0.003496503,0.033222591,0.012195122,0.017902813,0.007614213,0.017094017,0.000869187,0,0.003134796,0.013449367,0.001728608,0.02724359,0.003144654,0.017721519,0.015449438,0.00304414,0.01734104,0.009782609,0.004938272,0.015584416,0,0.005637773,0.00795756,0.007763975,0.007380074,0.005376344,0.010695187,0,0.004854369,0.015779093
Supersix Evo Hi-Mod Utegra,Road,Elite Road,Carbon,4260,0.006993007,0.008305648,0.020325203,0.023017903,0.012690355,0.008547009,0.000869187,0.001984127,0.015673981,0.005537975,0.000288101,0.012820513,0.003144654,0.02278481,0.009831461,0.00761035,0.005780347,0.008695652,0.002469136,0.021645022,0.008163265,0.009866103,0.015915119,0.004658385,0.001845018,0.010752688,0.016042781,0.0078125,0.004854369,0.031558185
Supersix Evo Red,Road,Elite Road,Carbon,3940,0.006993007,0.028239203,0.024390244,0.015345269,0.012690355,0,0.002607562,0.001984127,0.034482759,0.011075949,0.003745318,0.014423077,0.003144654,0.017721519,0.005617978,0.00152207,0.005780347,0.010869565,0.019753086,0.01038961,0.004081633,0.014094433,0.00530504,0.001552795,0.003690037,0,0.016042781,0.0078125,0,0.017751479
Supersix Evo Tiagra,Road,Elite Road,Carbon,1840,0.01048951,0.014950166,0.004065041,0.015345269,0.010152284,0,0.008691873,0.017857143,0.012539185,0.000791139,0.007202535,0.008012821,0.012578616,0.012658228,0.019662921,0.01065449,0.023121387,0.025,0.017283951,0.021645022,0.008163265,0.009161381,0,0.01242236,0.014760148,0.02688172,0.021390374,0.0234375,0,0.01183432
Supersix Evo Ultegra 3,Road,Elite Road,Carbon,3200,0.006993007,0.013289037,0.052845528,0.025575448,0.025380711,0.025641026,0.008257279,0.005952381,0.018808777,0.01028481,0.009795448,0.014423077,0.01572327,0.012658228,0.02247191,0.0304414,0.026011561,0.016304348,0.009876543,0.017316017,0.016326531,0.014799154,0.015915119,0.00931677,0.009225092,0.005376344,0.021390374,0.0078125,0,0.021696252
Supersix Evo Ultegra 4,Road,Elite Road,Carbon,2660,0.006993007,0.019933555,0.036585366,0.002557545,0,0.004273504,0.008691873,0.007936508,0.028213166,0.001582278,0.009219245,0.011217949,0.012578616,0.002531646,0.019662921,0.00913242,0.005780347,0.009782609,0.017283951,0.027705628,0.012244898,0.00845666,0.00265252,0.01242236,0.011070111,0.021505376,0.00802139,0.0078125,0,0.017751479
SuperX 105,Road,Cyclocross,Carbon,1960,0.013986014,0.011627907,0.024390244,0.012787724,0.005076142,0.012820513,0.012603216,0.005952381,0.012539185,0,0.010083549,0.012820513,0.018867925,0.005063291,0.015449438,0.02130898,0.014450867,0.023913043,0.017283951,0.016450216,0.004081633,0.016913319,0,0.01863354,0.005535055,0,0.00802139,0,0,0.013806706
